ignore;_value;gdzie;kto;location;source;timestamp;target
6;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 16:57:48.000003600;bathroom_g
7;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 16:58:44.000003600;bathroom_g
8;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 16:59:44.000003600;bathroom_g
9;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:00:52.000003600;bathroom_g
10;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:01:45.000003600;bathroom_g
11;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:02:44.000003600;bathroom_g
12;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:03:45.000003600;bathroom_g
13;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:04:44.000003600;bathroom_g
14;-92.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:05:48.000003600;bathroom_g
15;-90.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:06:48.000003600;bathroom_g
16;-90.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:07:44.000003600;bathroom_g
17;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:08:49.000003600;bathroom_g
18;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:09:51.000003600;bathroom_g
19;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:10:46.000003600;bathroom_g
20;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:11:44.000003600;bathroom_g
21;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:12:45.000003600;bathroom_g
22;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:13:45.000003600;bathroom_g
23;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:14:45.000003600;bathroom_g
24;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:15:48.000003600;bathroom_g
25;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:16:46.000003600;bathroom_g
26;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:17:44.000003600;bathroom_g
27;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:18:45.000003600;bathroom_g
28;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:19:44.000003600;bathroom_g
29;-90.0;forum;figa;kabaty;esp32cam-1;2021-01-03 17:20:52.000003600;bathroom_g
0;-74.0;strych;figa;kabaty;esp32-strych;2021-01-03 16:51:18.000003600;bathroom_g
1;-73.0;strych;figa;kabaty;esp32-strych;2021-01-03 16:52:18.000003600;bathroom_g
2;-75.0;strych;figa;kabaty;esp32-strych;2021-01-03 16:53:18.000003600;bathroom_g
3;-75.0;strych;figa;kabaty;esp32-strych;2021-01-03 16:54:17.000003600;bathroom_g
